Date,Day,Temp
12/4/2014,338,15.187
12/4/2014,338,11.236
12/4/2014,338,4.727
12/4/2014,338,3.893
12/4/2014,338,5.141
12/4/2014,338,4.519
12/4/2014,338,4.311
12/4/2014,338,3.998
12/4/2014,338,3.578
12/4/2014,338,3.367
12/5/2014,339,3.049
12/5/2014,339,3.049
12/5/2014,339,3.155
12/5/2014,339,3.049
12/5/2014,339,2.837
12/5/2014,339,2.837
12/5/2014,339,2.943
12/5/2014,339,3.367
12/5/2014,339,7.079
12/5/2014,339,7.682
12/5/2014,339,8.978
12/5/2014,339,10.748
12/5/2014,339,9.669
12/5/2014,339,7.582
12/5/2014,339,11.916
12/5/2014,339,6.573
12/5/2014,339,5.347
12/5/2014,339,5.141
12/5/2014,339,5.141
12/5/2014,339,5.45
12/5/2014,339,5.655
12/5/2014,339,5.86
12/5/2014,339,6.37
12/5/2014,339,6.775
12/6/2014,340,7.079
12/6/2014,340,7.381
12/6/2014,340,7.882
12/6/2014,340,8.581
12/6/2014,340,9.373
12/6/2014,340,10.063
12/6/2014,340,9.866
12/6/2014,340,10.846
12/6/2014,340,10.651
12/6/2014,340,11.041
12/6/2014,340,11.236
12/6/2014,340,11.041
12/6/2014,340,11.236
12/6/2014,340,11.041
12/6/2014,340,10.259
12/6/2014,340,10.063
12/6/2014,340,9.077
12/6/2014,340,8.581
12/6/2014,340,8.481
12/6/2014,340,8.581
12/6/2014,340,8.382
12/6/2014,340,8.182
12/6/2014,340,7.582
12/6/2014,340,6.471
12/7/2014,341,6.37
12/7/2014,341,6.674
12/7/2014,341,6.471
12/7/2014,341,5.962
12/7/2014,341,5.552
12/7/2014,341,5.244
12/7/2014,341,4.934
12/7/2014,341,4.727
12/7/2014,341,5.037
12/7/2014,341,4.934
12/7/2014,341,5.45
12/7/2014,341,5.86
12/7/2014,341,4.934
12/7/2014,341,4.934
12/7/2014,341,4.415
12/7/2014,341,3.578
12/7/2014,341,2.303
12/7/2014,341,1.439
12/7/2014,341,1.221
12/7/2014,341,1.548
12/7/2014,341,1.439
12/7/2014,341,0.893
12/7/2014,341,0.674
