Date,Day,Temp
12/4/2014,338,11.528
12/4/2014,338,9.866
12/4/2014,338,11.528
12/4/2014,338,9.571
12/4/2014,338,4.102
12/4/2014,338,2.73
12/4/2014,338,4.727
12/4/2014,338,3.893
12/4/2014,338,3.683
12/4/2014,338,3.578
12/4/2014,338,3.155
12/4/2014,338,3.049
12/5/2014,339,2.73
12/5/2014,339,2.73
12/5/2014,339,2.943
12/5/2014,339,2.837
12/5/2014,339,2.624
12/5/2014,339,2.517
12/5/2014,339,2.624
12/5/2014,339,3.049
12/5/2014,339,4.934
12/5/2014,339,7.882
12/5/2014,339,8.581
12/5/2014,339,8.481
12/5/2014,339,7.582
12/5/2014,339,6.877
12/5/2014,339,9.768
12/5/2014,339,6.471
12/5/2014,339,5.347
12/5/2014,339,5.141
12/5/2014,339,5.244
12/5/2014,339,5.45
12/5/2014,339,5.655
12/5/2014,339,5.86
12/5/2014,339,6.268
12/5/2014,339,6.775
12/6/2014,340,7.079
12/6/2014,340,7.179
12/6/2014,340,7.682
12/6/2014,340,8.382
12/6/2014,340,9.176
12/6/2014,340,9.768
12/6/2014,340,9.965
12/6/2014,340,10.846
12/6/2014,340,10.748
12/6/2014,340,11.041
12/6/2014,340,11.236
12/6/2014,340,11.139
12/6/2014,340,11.334
12/6/2014,340,10.944
12/6/2014,340,10.553
12/6/2014,340,10.259
12/6/2014,340,9.373
12/6/2014,340,8.68
12/6/2014,340,8.68
12/6/2014,340,8.879
12/6/2014,340,8.481
12/6/2014,340,8.282
12/6/2014,340,7.682
12/6/2014,340,6.573
12/7/2014,341,6.268
12/7/2014,341,6.674
12/7/2014,341,6.471
12/7/2014,341,5.962
12/7/2014,341,5.655
12/7/2014,341,5.244
12/7/2014,341,4.934
12/7/2014,341,4.623
12/7/2014,341,4.831
12/7/2014,341,4.934
12/7/2014,341,5.45
12/7/2014,341,5.86
12/7/2014,341,4.934
12/7/2014,341,4.934
12/7/2014,341,4.415
12/7/2014,341,3.472
12/7/2014,341,1.98
12/7/2014,341,1.112
12/7/2014,341,1.003
12/7/2014,341,1.33
12/7/2014,341,1.221
12/7/2014,341,0.674
12/7/2014,341,0.453
12/7/2014,341,0.563
12/8/2014,342,0.232
12/8/2014,342,0.01
12/8/2014,342,0.01
12/8/2014,342,0.01
12/8/2014,342,0.121
12/8/2014,342,0.232
12/8/2014,342,0.453
12/8/2014,342,0.784
12/8/2014,342,1.221
12/8/2014,342,2.088
12/8/2014,342,3.049
12/8/2014,342,3.893
12/8/2014,342,4.415
12/8/2014,342,4.519
12/8/2014,342,3.788
12/8/2014,342,4.102
12/8/2014,342,3.788
12/8/2014,342,4.207
12/8/2014,342,4.519
12/8/2014,342,4.831
12/8/2014,342,5.347
12/8/2014,342,5.552
12/8/2014,342,6.064
12/8/2014,342,5.86
12/9/2014,343,6.064
12/9/2014,343,6.775
12/9/2014,343,7.179
12/9/2014,343,7.481
12/9/2014,343,7.882
12/9/2014,343,8.481
12/9/2014,343,8.182
12/9/2014,343,8.082
12/9/2014,343,8.182
12/9/2014,343,8.581
12/9/2014,343,8.779
12/9/2014,343,8.978
12/9/2014,343,9.373
12/9/2014,343,9.965
12/9/2014,343,10.748
12/9/2014,343,11.722
12/9/2014,343,11.625
12/9/2014,343,12.98
12/9/2014,343,13.365
12/9/2014,343,12.401
12/9/2014,343,11.916
12/9/2014,343,11.528
12/9/2014,343,11.139
12/9/2014,343,9.669
12/10/2014,344,9.275
12/10/2014,344,8.879
12/10/2014,344,8.481
12/10/2014,344,8.182
12/10/2014,344,7.983
12/10/2014,344,7.782
12/10/2014,344,7.682
12/10/2014,344,7.582
12/10/2014,344,7.682
12/10/2014,344,8.282
12/10/2014,344,8.382
12/10/2014,344,8.182
12/10/2014,344,8.282
12/10/2014,344,9.866
12/10/2014,344,8.978
12/10/2014,344,8.082
12/10/2014,344,7.381
12/10/2014,344,6.471
12/10/2014,344,6.775
12/10/2014,344,6.471
12/10/2014,344,5.655
12/10/2014,344,5.552
12/10/2014,344,5.037
12/10/2014,344,5.037
12/11/2014,345,4.207
12/11/2014,345,4.207
12/11/2014,345,4.207
12/11/2014,345,3.788
12/11/2014,345,3.998
12/11/2014,345,4.311
12/11/2014,345,3.893
12/11/2014,345,3.578
12/11/2014,345,3.261
12/11/2014,345,3.998
12/11/2014,345,5.347
12/11/2014,345,5.45
12/11/2014,345,6.573
12/11/2014,345,5.037
12/11/2014,345,4.207
12/11/2014,345,2.943
12/11/2014,345,3.578
12/11/2014,345,4.207
12/11/2014,345,2.73
12/11/2014,345,3.049
12/11/2014,345,2.624
12/11/2014,345,3.155
12/11/2014,345,2.837
12/11/2014,345,2.517
12/12/2014,346,2.195
12/12/2014,346,2.195
12/12/2014,346,2.088
12/12/2014,346,1.98
12/12/2014,346,1.872
12/12/2014,346,-0.325
12/12/2014,346,0.784
12/12/2014,346,1.33
12/12/2014,346,0.453
12/12/2014,346,6.064
12/12/2014,346,5.347
12/12/2014,346,5.757
12/12/2014,346,7.882
12/12/2014,346,6.877
12/12/2014,346,9.176
12/12/2014,346,7.582
12/12/2014,346,2.73
12/12/2014,346,0.784
12/12/2014,346,2.624
12/12/2014,346,2.73
12/12/2014,346,2.73
12/12/2014,346,2.517
12/12/2014,346,2.303
