"","Date","Min Temp","Avg Temp","Day"
"1","02/07/2018",4.727,7.444,"038"
"2","02/08/2018",-7.918,-0.086,"039"
"3","02/09/2018",-5.62,0.55,"040"
"4","02/10/2018",1.98,7.874,"041"
"5","02/11/2018",6.877,9.09,"042"
"6","02/12/2018",-1.684,4.916,"043"
"7","02/13/2018",-4.636,0.687,"044"
"8","02/14/2018",-2.145,4.555,"045"
"9","02/15/2018",3.261,6.25,"046"
"10","02/16/2018",2.943,6.731,"047"
"11","02/17/2018",-1.114,3.15,"048"
"12","02/18/2018",-2.844,4.271,"049"
"13","02/19/2018",-2.61,6.424,"050"
"14","02/20/2018",7.381,8.774,"051"
"15","02/21/2018",6.573,8.655,"052"
"16","02/22/2018",1.221,4.732,"053"
"17","02/23/2018",1.764,5.29,"054"
"18","02/24/2018",3.893,6.745,"055"
"19","02/25/2018",4.519,5.73,"056"
"20","02/26/2018",2.088,5.811,"057"
"21","02/27/2018",0.784,6.847,"058"
"22","02/28/2018",3.683,8.764,"059"
"23","03/01/2018",4.311,9.611,"060"
"24","03/02/2018",3.683,6.363,"061"
"25","03/03/2018",2.517,4.779,"062"
"26","03/04/2018",2.088,4.367,"063"
"27","03/05/2018",1.221,4.028,"064"
"28","03/06/2018",1.003,3.869,"065"
"29","03/07/2018",1.764,4.495,"066"
"30","03/08/2018",1.656,4.179,"067"
"31","03/09/2018",-0.774,3.431,"068"
"32","03/10/2018",0.784,5.175,"069"
"33","03/11/2018",-1.57,4.947,"070"
"34","03/12/2018",-1.799,5.022,"071"
"35","03/13/2018",-0.549,0.594,"072"
"36","03/14/2018",-0.549,3.255,"073"
"37","03/15/2018",0.784,4.637,"074"
"38","03/16/2018",-1.57,3.548,"075"
"39","03/17/2018",-3.792,2.196,"076"
"40","03/18/2018",-6.499,0.075,"077"
"41","03/19/2018",-3.079,1.95,"078"
"42","03/20/2018",-3.316,2.449,"079"
"43","03/21/2018",1.221,2.618,"080"
"44","03/22/2018",0.563,2.963,"081"
"45","03/23/2018",-2.727,4.966,"082"
"46","03/24/2018",-3.911,4.909,"083"
"47","03/25/2018",1.221,3.525,"084"
"48","03/26/2018",1.003,4.306,"085"
"49","03/27/2018",1.112,5.898,"086"
"50","03/28/2018",3.049,7.108,"087"
"51","03/29/2018",1.872,9.414,"088"
"52","03/30/2018",5.86,9.134,"089"
"53","03/31/2018",2.73,8.318,"090"
"54","04/01/2018",3.367,8.329,"091"
"55","04/02/2018",-1.57,2.804,"092"
"56","04/03/2018",-3.672,4.707,"093"
"57","04/04/2018",5.141,9.766,"094"
"58","04/05/2018",1.221,6.086,"095"
"59","04/06/2018",-1.684,5.181,"096"
"60","04/07/2018",3.578,7.01,"097"
"61","04/08/2018",0.784,4.481,"098"
"62","04/09/2018",-0.774,5.301,"099"
"63","04/10/2018",1.656,3.54,"100"
"64","04/11/2018",0.01,6.089,"101"
"65","04/12/2018",0.893,9.701,"102"
"66","04/13/2018",6.877,10.102,"103"
"67","04/14/2018",5.244,10.238,"104"
"68","04/15/2018",2.837,4.33,"105"
"69","04/16/2018",3.788,8.874,"106"
"70","04/17/2018",3.788,9.258,"107"
"71","04/18/2018",2.195,7.938,"108"
"72","04/19/2018",3.998,5.492,"109"
"73","04/20/2018",2.73,8.755,"110"
"74","04/21/2018",4.102,10.53,"111"
"75","04/22/2018",2.41,11.595,"112"
"76","04/23/2018",2.195,10.652,"113"
"77","04/24/2018",3.049,12.06,"114"
"78","04/25/2018",9.571,11.358,"115"
"79","04/26/2018",7.682,12.779,"116"
"80","04/27/2018",4.934,12.474,"117"
"81","04/28/2018",7.28,12.873,"118"
"82","04/29/2018",6.471,12.568,"119"
"83","04/30/2018",4.831,10.028,"120"
"84","05/01/2018",5.552,12.695,"121"
"85","05/02/2018",9.768,16.184,"122"
"86","05/03/2018",10.651,15.498,"123"
"87","05/04/2018",10.748,14.835,"124"
"88","05/05/2018",11.139,16.48,"125"
"89","05/06/2018",10.357,12.901,"126"
"90","05/07/2018",5.141,12.628,"127"
"91","05/08/2018",5.45,12.136,"128"
"92","05/09/2018",9.472,12.758,"129"
"93","05/10/2018",9.768,13.6,"130"
"94","05/11/2018",6.877,16.388,"131"
"95","05/12/2018",6.674,11.05,"132"
"96","05/13/2018",8.978,11.754,"133"
"97","05/14/2018",9.275,14.347,"134"
"98","05/15/2018",11.041,15.72,"135"
"99","05/16/2018",10.748,13.412,"136"
"100","05/17/2018",10.651,14.107,"137"
"101","05/18/2018",11.236,12.436,"138"
