"","Date","Min Temp","Avg Temp","Day"
"1","05/17/2016",11.139,16.023,"138"
"2","05/18/2016",4.623,13.503,"139"
"3","05/19/2016",2.943,12.279,"140"
"4","05/20/2016",5.347,16.836,"141"
"5","05/21/2016",6.166,15.716,"142"
"6","05/22/2016",11.528,14.373,"143"
"7","05/23/2016",10.748,16.463,"144"
"8","05/24/2016",10.651,13.87,"145"
"9","05/25/2016",11.625,18.027,"146"
"10","05/26/2016",13.365,22.416,"147"
"11","05/27/2016",12.497,19.336,"148"
"12","05/28/2016",14.134,19.523,"149"
"13","05/29/2016",14.709,20.682,"150"
"14","05/30/2016",15.378,17.312,"151"
"15","05/31/2016",14.421,18.9,"152"
"16","06/01/2016",13.076,18.778,"153"
"17","06/02/2016",11.528,15.154,"154"
"18","06/03/2016",13.365,16.379,"155"
"19","06/04/2016",12.69,18.982,"156"
"20","06/05/2016",14.804,17.144,"157"
"21","06/06/2016",16.046,20.218,"158"
"22","06/07/2016",15.091,19.781,"159"
"23","06/08/2016",13.846,19.627,"160"
"24","06/09/2016",12.013,15.678,"161"
