"","Date","Min Temp","Avg Temp","Day"
"1","02/07/2018",4.831,7.4,"038"
"2","02/08/2018",-11.487,-1.175,"039"
"3","02/09/2018",-6.246,0.525,"040"
"4","02/10/2018",1.764,8.174,"041"
"5","02/11/2018",6.775,9.139,"042"
"6","02/12/2018",-5.745,4.383,"043"
"7","02/13/2018",-7.138,0.053,"044"
"8","02/14/2018",-3.079,4.083,"045"
"9","02/15/2018",2.41,6.362,"046"
"10","02/16/2018",2.837,6.921,"047"
"11","02/17/2018",-1.114,3.24,"048"
"12","02/18/2018",-8.713,2.724,"049"
"13","02/19/2018",-8.847,5.44,"050"
"14","02/20/2018",7.381,9.015,"051"
"15","02/21/2018",6.674,8.817,"052"
"16","02/22/2018",1.221,4.69,"053"
"17","02/23/2018",1.764,5.296,"054"
"18","02/24/2018",3.893,7.183,"055"
"19","02/25/2018",4.415,5.691,"056"
"20","02/26/2018",1.548,5.604,"057"
"21","02/27/2018",0.893,6.649,"058"
"22","02/28/2018",2.41,8.886,"059"
"23","03/01/2018",3.367,9.764,"060"
"24","03/02/2018",3.788,6.321,"061"
"25","03/03/2018",2.517,4.723,"062"
"26","03/04/2018",2.303,4.41,"063"
"27","03/05/2018",1.33,3.953,"064"
"28","03/06/2018",0.893,3.851,"065"
"29","03/07/2018",1.872,4.477,"066"
"30","03/08/2018",0.893,4.031,"067"
"31","03/09/2018",-1.228,3.631,"068"
"32","03/10/2018",0.232,5.522,"069"
"33","03/11/2018",-6.626,5.172,"070"
"34","03/12/2018",-9.117,4.426,"071"
"35","03/13/2018",-0.437,0.681,"072"
"36","03/14/2018",-0.662,3.218,"073"
"37","03/15/2018",0.563,4.942,"074"
"38","03/16/2018",-1.914,3.808,"075"
"39","03/17/2018",-3.434,2.886,"076"
"40","03/18/2018",-6.882,0.038,"077"
"41","03/19/2018",-2.962,2.282,"078"
"42","03/20/2018",-3.079,2.499,"079"
"43","03/21/2018",1.112,2.542,"080"
"44","03/22/2018",-0.102,2.736,"081"
"45","03/23/2018",-8.713,3.92,"082"
"46","03/24/2018",-9.799,3.564,"083"
"47","03/25/2018",1.221,3.21,"084"
"48","03/26/2018",1.003,4.192,"085"
"49","03/27/2018",1.003,5.746,"086"
"50","03/28/2018",2.195,7.907,"087"
"51","03/29/2018",-1.001,10.047,"088"
"52","03/30/2018",5.962,9.496,"089"
"53","03/31/2018",1.98,8.267,"090"
"54","04/01/2018",2.73,8.387,"091"
"55","04/02/2018",-4.152,2.401,"092"
"56","04/03/2018",-8.314,3.147,"093"
"57","04/04/2018",4.207,9.924,"094"
"58","04/05/2018",0.784,6.161,"095"
"59","04/06/2018",-2.494,4.956,"096"
"60","04/07/2018",3.155,6.808,"097"
"61","04/08/2018",0.343,4.16,"098"
"62","04/09/2018",-1.001,5.231,"099"
"63","04/10/2018",0.563,3.471,"100"
"64","04/11/2018",-4.393,5.072,"101"
"65","04/12/2018",-1.684,10.56,"102"
"66","04/13/2018",6.166,10.063,"103"
"67","04/14/2018",5.347,10.335,"104"
"68","04/15/2018",2.837,4.309,"105"
"69","04/16/2018",3.788,8.848,"106"
"70","04/17/2018",3.788,10.001,"107"
"71","04/18/2018",2.088,7.905,"108"
"72","04/19/2018",3.893,5.367,"109"
"73","04/20/2018",2.195,9.123,"110"
"74","04/21/2018",3.893,10.693,"111"
"75","04/22/2018",0.01,11.33,"112"
"76","04/23/2018",-1.456,9.746,"113"
"77","04/24/2018",0.121,12.75,"114"
"78","04/25/2018",9.472,11.236,"115"
"79","04/26/2018",7.179,12.815,"116"
"80","04/27/2018",1.003,12.043,"117"
"81","04/28/2018",7.079,14.092,"118"
"82","04/29/2018",4.623,11.6,"119"
"83","04/30/2018",4.311,10.995,"120"
"84","05/01/2018",5.552,13.343,"121"
"85","05/02/2018",8.978,17.23,"122"
"86","05/03/2018",9.965,16.608,"123"
"87","05/04/2018",10.455,15.907,"124"
"88","05/05/2018",10.846,17.488,"125"
"89","05/06/2018",10.357,13.076,"126"
"90","05/07/2018",1.548,12.384,"127"
"91","05/08/2018",0.343,12.357,"128"
"92","05/09/2018",9.571,12.911,"129"
"93","05/10/2018",9.768,14.787,"130"
"94","05/11/2018",4.934,16.202,"131"
"95","05/12/2018",4.519,10.934,"132"
"96","05/13/2018",8.879,11.678,"133"
"97","05/14/2018",9.373,15.013,"134"
"98","05/15/2018",11.236,16.696,"135"
"99","05/16/2018",10.748,13.587,"136"
"100","05/17/2018",10.651,14.115,"137"
"101","05/18/2018",11.236,12.263,"138"
