"","Date","Min Temp","Avg Temp","Day"
"1","02/07/2018",4.831,7.367,"038"
"2","02/08/2018",-13.562,-0.834,"039"
"3","02/09/2018",-5.249,0.281,"040"
"4","02/10/2018",1.764,7.895,"041"
"5","02/11/2018",6.877,9.086,"042"
"6","02/12/2018",-7.918,4.066,"043"
"7","02/13/2018",-8.182,0.591,"044"
"8","02/14/2018",-2.844,4.477,"045"
"9","02/15/2018",2.943,6.24,"046"
"10","02/16/2018",2.73,6.805,"047"
"11","02/17/2018",-1.228,3.668,"048"
"12","02/18/2018",-10.493,2.985,"049"
"13","02/19/2018",-10.916,4.949,"050"
"14","02/20/2018",7.179,8.807,"051"
"15","02/21/2018",6.674,8.68,"052"
"16","02/22/2018",1.33,4.743,"053"
"17","02/23/2018",1.872,5.416,"054"
"18","02/24/2018",3.788,7.008,"055"
"19","02/25/2018",4.311,5.648,"056"
"20","02/26/2018",-1.456,5.448,"057"
"21","02/27/2018",0.784,6.915,"058"
"22","02/28/2018",3.261,8.94,"059"
"23","03/01/2018",3.472,9.469,"060"
"24","03/02/2018",3.683,6.262,"061"
"25","03/03/2018",2.517,4.863,"062"
"26","03/04/2018",2.195,4.891,"063"
"27","03/05/2018",1.439,4.172,"064"
"28","03/06/2018",0.563,4.157,"065"
"29","03/07/2018",1.98,4.448,"066"
"30","03/08/2018",-0.102,3.973,"067"
"31","03/09/2018",-1.684,3.539,"068"
"32","03/10/2018",0.563,5.365,"069"
"33","03/11/2018",-8.182,4.936,"070"
"34","03/12/2018",-10.493,4.001,"071"
"35","03/13/2018",-0.662,0.703,"072"
"36","03/14/2018",-0.774,3.413,"073"
"37","03/15/2018",0.674,4.892,"074"
"38","03/16/2018",-1.57,3.46,"075"
"39","03/17/2018",-3.672,2.526,"076"
"40","03/18/2018",-6.499,0.458,"077"
"41","03/19/2018",-2.962,2.561,"078"
"42","03/20/2018",-3.197,2.594,"079"
"43","03/21/2018",1.221,2.578,"080"
"44","03/22/2018",-0.102,2.839,"081"
"45","03/23/2018",-10.353,3.968,"082"
"46","03/24/2018",-11.487,3.536,"083"
"47","03/25/2018",1.221,3.814,"084"
"48","03/26/2018",0.893,4.713,"085"
"49","03/27/2018",0.893,6.568,"086"
"50","03/28/2018",2.837,6.635,"087"
"51","03/29/2018",-2.962,8.515,"088"
"52","03/30/2018",6.166,9.016,"089"
"53","03/31/2018",2.73,8.463,"090"
"54","04/01/2018",3.367,8.088,"091"
"55","04/02/2018",-4.514,2.622,"092"
"56","04/03/2018",-10.774,2.846,"093"
"57","04/04/2018",5.141,9.738,"094"
"58","04/05/2018",1.656,5.884,"095"
"59","04/06/2018",-1.914,5.061,"096"
"60","04/07/2018",3.472,6.681,"097"
"61","04/08/2018",0.01,4.623,"098"
"62","04/09/2018",-0.325,5.003,"099"
"63","04/10/2018",0.121,3.354,"100"
"64","04/11/2018",-5.87,5.348,"101"
"65","04/12/2018",-0.887,9.282,"102"
"66","04/13/2018",6.775,9.846,"103"
"67","04/14/2018",5.347,10.036,"104"
"68","04/15/2018",2.73,4.18,"105"
"69","04/16/2018",3.788,8.831,"106"
"70","04/17/2018",3.998,8.735,"107"
"71","04/18/2018",2.624,7.547,"108"
"72","04/19/2018",4.415,5.515,"109"
"73","04/20/2018",2.943,8.645,"110"
"74","04/21/2018",4.311,10.184,"111"
"75","04/22/2018",-0.662,10.42,"112"
"76","04/23/2018",-5.745,9.419,"113"
"77","04/24/2018",-1.684,11.577,"114"
"78","04/25/2018",9.571,11.382,"115"
"79","04/26/2018",7.882,12.311,"116"
"80","04/27/2018",0.343,12.441,"117"
"81","04/28/2018",4.623,12.24,"118"
"82","04/29/2018",3.049,11.581,"119"
"83","04/30/2018",5.037,9.423,"120"
"84","05/01/2018",6.166,11.849,"121"
"85","05/02/2018",9.965,15.517,"122"
"86","05/03/2018",10.651,14.931,"123"
"87","05/04/2018",10.846,14.446,"124"
"88","05/05/2018",11.139,15.854,"125"
"89","05/06/2018",10.357,12.921,"126"
"90","05/07/2018",0.343,11.796,"127"
"91","05/08/2018",-0.325,11.103,"128"
"92","05/09/2018",9.472,12.069,"129"
"93","05/10/2018",9.768,13.425,"130"
"94","05/11/2018",4.831,15.493,"131"
"95","05/12/2018",1.656,10.517,"132"
"96","05/13/2018",9.176,11.147,"133"
"97","05/14/2018",9.275,13.738,"134"
"98","05/15/2018",11.041,15.183,"135"
"99","05/16/2018",10.748,13.142,"136"
"100","05/17/2018",10.651,13.872,"137"
"101","05/18/2018",11.334,12.167,"138"
