"","X.1","X","Site_Name","Common_Name","Phenophase_Name","Observation_Date","Day_of_Year","Phenophase_Status","Intensity_Category_ID","Intensity_Value"
"112",5552,56835,"Site D","beach plum","Breaking leaf buds",2016-05-17,138,0,39,0
"113",5553,56836,"Site D","beach plum","Breaking leaf buds",2016-05-23,144,1,39,3
"114",5554,56837,"Site D","beach plum","Breaking leaf buds",2016-05-06,127,0,39,0
"115",5555,56838,"Site D","beach plum","Breaking leaf buds",2016-04-27,118,0,39,0
"116",5556,56839,"Site D","beach plum","Breaking leaf buds",2016-04-11,102,0,39,0
"117",5557,56840,"Site D","beach plum","Breaking leaf buds",2016-04-22,113,0,39,0
"118",5558,56841,"Site D","beach plum","Breaking leaf buds",2016-04-29,120,0,39,0
"119",5559,56842,"Site D","beach plum","Breaking leaf buds",2016-05-13,134,0,39,0
"120",5560,56843,"Site D","beach plum","Breaking leaf buds",2016-05-20,141,0,39,0
"121",5561,56844,"Site D","beach plum","Breaking leaf buds",2016-05-31,152,1,39,4
"122",5562,56845,"Site D","beach plum","Breaking leaf buds",2016-06-09,161,1,39,4
"123",5563,56846,"Site D","beach plum","Breaking leaf buds",2016-06-07,159,1,39,4
"124",5564,56847,"Site D","beach plum","Breaking leaf buds",2016-05-26,147,1,39,3
"125",5565,56848,"Site D","beach plum","Breaking leaf buds",2016-06-14,166,0,39,0
"126",5566,56849,"Site D","beach plum","Breaking leaf buds",2016-06-03,155,1,39,4
"127",5567,56850,"Site D","beach plum","Breaking leaf buds",2016-06-16,168,0,39,0
"128",5568,56851,"Site D","beach plum","Breaking leaf buds",2016-04-21,112,0,39,0
"129",5569,56852,"Site D","beach plum","Breaking leaf buds",2016-03-20,80,0,39,0
"130",5570,56853,"Site D","beach plum","Breaking leaf buds",2016-06-21,173,0,39,0
"131",5571,56854,"Site D","beach plum","Breaking leaf buds",2016-06-28,180,0,39,0
"132",5572,56855,"Site D","beach plum","Breaking leaf buds",2016-06-30,182,0,39,0
"133",5573,56856,"Site D","beach plum","Breaking leaf buds",2016-07-05,187,0,39,0
"134",5574,56857,"Site D","beach plum","Breaking leaf buds",2016-07-07,189,0,39,0
"135",5575,56858,"Site D","beach plum","Breaking leaf buds",2016-07-12,194,1,39,1
"136",5576,56859,"Site D","beach plum","Breaking leaf buds",2016-07-13,195,0,39,0
"137",5577,56860,"Site D","beach plum","Breaking leaf buds",2016-07-19,201,0,39,0
"138",5578,56861,"Site D","beach plum","Breaking leaf buds",2016-07-21,203,0,39,0
"139",5579,56862,"Site D","beach plum","Breaking leaf buds",2016-07-26,208,0,39,0
"140",5580,56863,"Site D","beach plum","Breaking leaf buds",2016-07-28,210,0,39,0
"141",5581,56864,"Site D","beach plum","Breaking leaf buds",2016-08-04,217,0,39,0
"142",5582,56865,"Site D","beach plum","Breaking leaf buds",2016-08-09,222,0,39,0
"143",5583,56866,"Site D","beach plum","Breaking leaf buds",2016-08-16,229,0,39,0
"144",5584,56867,"Site D","beach plum","Breaking leaf buds",2016-08-18,231,0,39,0
"145",5585,56868,"Site D","beach plum","Breaking leaf buds",2016-08-25,238,0,39,0
"146",5586,56869,"Site D","beach plum","Breaking leaf buds",2016-08-30,243,0,39,0
"148",5588,56871,"Site D","beach plum","Breaking leaf buds",2016-09-08,252,0,39,0
"149",5589,56872,"Site D","beach plum","Breaking leaf buds",2016-09-13,257,0,39,0
"150",5590,56873,"Site D","beach plum","Breaking leaf buds",2016-09-21,265,0,39,0
"151",5591,56874,"Site D","beach plum","Breaking leaf buds",2016-10-05,279,0,39,0
"152",5592,56875,"Site D","beach plum","Breaking leaf buds",2016-10-20,294,0,39,0
"266",5706,56989,"Site D","beach plum","Breaking leaf buds",2016-05-17,138,0,39,0
"267",5707,56990,"Site D","beach plum","Breaking leaf buds",2016-05-23,144,1,39,2
"268",5708,56991,"Site D","beach plum","Breaking leaf buds",2016-05-06,127,0,39,0
"269",5709,56992,"Site D","beach plum","Breaking leaf buds",2016-04-27,118,0,39,0
"270",5710,56993,"Site D","beach plum","Breaking leaf buds",2016-04-11,102,0,39,0
"271",5711,56994,"Site D","beach plum","Breaking leaf buds",2016-04-22,113,0,39,0
"272",5712,56995,"Site D","beach plum","Breaking leaf buds",2016-04-29,120,0,39,0
"273",5713,56996,"Site D","beach plum","Breaking leaf buds",2016-05-13,134,0,39,0
"274",5714,56997,"Site D","beach plum","Breaking leaf buds",2016-05-20,141,0,39,0
"275",5715,56998,"Site D","beach plum","Breaking leaf buds",2016-05-31,152,1,39,4
"276",5716,56999,"Site D","beach plum","Breaking leaf buds",2016-06-09,161,1,39,3
"277",5717,57000,"Site D","beach plum","Breaking leaf buds",2016-06-07,159,1,39,4
"278",5718,57001,"Site D","beach plum","Breaking leaf buds",2016-05-26,147,1,39,4
"279",5719,57002,"Site D","beach plum","Breaking leaf buds",2016-06-14,166,1,39,3
"280",5720,57003,"Site D","beach plum","Breaking leaf buds",2016-06-03,155,1,39,4
"281",5721,57004,"Site D","beach plum","Breaking leaf buds",2016-06-16,168,0,39,0
"282",5722,57005,"Site D","beach plum","Breaking leaf buds",2016-04-21,112,0,39,0
"283",5723,57006,"Site D","beach plum","Breaking leaf buds",2016-03-20,80,0,39,0
"284",5724,57007,"Site D","beach plum","Breaking leaf buds",2016-06-21,173,0,39,0
"285",5725,57008,"Site D","beach plum","Breaking leaf buds",2016-06-28,180,0,39,0
"286",5726,57009,"Site D","beach plum","Breaking leaf buds",2016-06-30,182,0,39,0
"287",5727,57010,"Site D","beach plum","Breaking leaf buds",2016-07-05,187,0,39,0
"288",5728,57011,"Site D","beach plum","Breaking leaf buds",2016-07-07,189,0,39,0
"289",5729,57012,"Site D","beach plum","Breaking leaf buds",2016-07-12,194,0,39,0
"290",5730,57013,"Site D","beach plum","Breaking leaf buds",2016-07-13,195,0,39,0
"291",5731,57014,"Site D","beach plum","Breaking leaf buds",2016-07-19,201,0,39,0
"292",5732,57015,"Site D","beach plum","Breaking leaf buds",2016-07-21,203,0,39,0
"293",5733,57016,"Site D","beach plum","Breaking leaf buds",2016-07-26,208,0,39,0
"294",5734,57017,"Site D","beach plum","Breaking leaf buds",2016-07-28,210,0,39,0
"295",5735,57018,"Site D","beach plum","Breaking leaf buds",2016-08-04,217,0,39,0
"296",5736,57019,"Site D","beach plum","Breaking leaf buds",2016-08-09,222,0,39,0
"297",5737,57020,"Site D","beach plum","Breaking leaf buds",2016-08-16,229,0,39,0
"298",5738,57021,"Site D","beach plum","Breaking leaf buds",2016-08-18,231,0,39,0
"299",5739,57022,"Site D","beach plum","Breaking leaf buds",2016-08-25,238,0,39,0
"300",5740,57023,"Site D","beach plum","Breaking leaf buds",2016-08-30,243,0,39,0
"302",5742,57025,"Site D","beach plum","Breaking leaf buds",2016-09-08,252,0,39,0
"303",5743,57026,"Site D","beach plum","Breaking leaf buds",2016-09-13,257,0,39,0
"304",5744,57027,"Site D","beach plum","Breaking leaf buds",2016-09-21,265,0,39,0
"305",5745,57028,"Site D","beach plum","Breaking leaf buds",2016-10-05,279,0,39,0
"306",5746,57029,"Site D","beach plum","Breaking leaf buds",2016-10-20,294,0,39,0
"420",5860,57143,"Site D","beach plum","Breaking leaf buds",2016-05-17,138,0,39,0
"421",5861,57144,"Site D","beach plum","Breaking leaf buds",2016-05-23,144,1,39,1
"422",5862,57145,"Site D","beach plum","Breaking leaf buds",2016-05-06,127,0,39,0
