"","X.1","X","Site_Name","Common_Name","Phenophase_Name","Observation_Date","Day_of_Year","Phenophase_Status","Intensity_Category_ID","Intensity_Value"
"113",7624,78286,"Site E","beach plum","Breaking leaf buds",2017-03-22,81,0,39,0
"114",7625,78287,"Site E","beach plum","Breaking leaf buds",2017-04-03,93,0,39,0
"115",7626,78288,"Site E","beach plum","Breaking leaf buds",2017-04-11,101,0,39,0
"116",7627,78289,"Site E","beach plum","Breaking leaf buds",2017-04-18,108,0,39,0
"117",7628,78290,"Site E","beach plum","Breaking leaf buds",2017-04-27,117,0,39,0
"118",7629,78291,"Site E","beach plum","Breaking leaf buds",2017-05-03,123,0,39,0
"119",7630,78292,"Site E","beach plum","Breaking leaf buds",2017-05-09,129,0,39,0
"120",7631,78293,"Site E","beach plum","Breaking leaf buds",2017-05-16,136,0,39,0
"121",7632,78294,"Site E","beach plum","Breaking leaf buds",2017-05-22,142,0,39,0
"122",7633,78295,"Site E","beach plum","Breaking leaf buds",2017-05-30,150,1,39,2
"123",7634,78296,"Site E","beach plum","Breaking leaf buds",2017-06-07,158,1,39,3
"124",7635,78297,"Site E","beach plum","Breaking leaf buds",2017-06-13,164,1,39,2
"125",7636,78298,"Site E","beach plum","Breaking leaf buds",2017-06-16,167,1,39,2
"127",7638,78300,"Site E","beach plum","Breaking leaf buds",2017-06-23,174,1,39,1
"128",7639,78301,"Site E","beach plum","Breaking leaf buds",2017-06-27,178,1,39,2
"129",7640,78302,"Site E","beach plum","Breaking leaf buds",2017-06-29,180,1,39,2
"130",7641,78303,"Site E","beach plum","Breaking leaf buds",2017-07-06,187,0,39,0
"131",7642,78304,"Site E","beach plum","Breaking leaf buds",2017-07-10,191,0,39,0
"132",7643,78305,"Site E","beach plum","Breaking leaf buds",2017-07-14,195,0,39,0
"133",7644,78306,"Site E","beach plum","Breaking leaf buds",2017-07-18,199,0,39,0
"134",7645,78307,"Site E","beach plum","Breaking leaf buds",2017-07-21,202,0,39,0
"135",7646,78308,"Site E","beach plum","Breaking leaf buds",2017-07-26,207,0,39,0
"136",7647,78309,"Site E","beach plum","Breaking leaf buds",2017-07-31,212,0,39,0
"137",7648,78310,"Site E","beach plum","Breaking leaf buds",2017-08-04,216,0,39,0
"138",7649,78311,"Site E","beach plum","Breaking leaf buds",2017-08-08,220,1,39,1
"139",7650,78312,"Site E","beach plum","Breaking leaf buds",2017-08-11,223,0,39,0
"140",7651,78313,"Site E","beach plum","Breaking leaf buds",2017-08-14,226,1,39,1
"141",7652,78314,"Site E","beach plum","Breaking leaf buds",2017-08-22,234,0,39,0
"142",7653,78315,"Site E","beach plum","Breaking leaf buds",2017-08-25,237,0,39,0
"143",7654,78316,"Site E","beach plum","Breaking leaf buds",2017-08-18,230,0,39,0
"144",7655,78317,"Site E","beach plum","Breaking leaf buds",2017-11-15,319,0,39,0
"145",7656,78318,"Site E","beach plum","Breaking leaf buds",2017-09-18,261,0,39,0
"146",7657,78319,"Site E","beach plum","Breaking leaf buds",2017-09-12,255,0,39,0
"148",7659,78321,"Site E","beach plum","Breaking leaf buds",2017-10-23,296,0,39,0
"267",7778,78440,"Site E","beach plum","Breaking leaf buds",2017-03-22,81,0,39,0
"268",7779,78441,"Site E","beach plum","Breaking leaf buds",2017-04-03,93,0,39,0
"269",7780,78442,"Site E","beach plum","Breaking leaf buds",2017-04-11,101,0,39,0
"270",7781,78443,"Site E","beach plum","Breaking leaf buds",2017-04-18,108,0,39,0
"271",7782,78444,"Site E","beach plum","Breaking leaf buds",2017-04-27,117,0,39,0
"272",7783,78445,"Site E","beach plum","Breaking leaf buds",2017-05-03,123,0,39,0
"273",7784,78446,"Site E","beach plum","Breaking leaf buds",2017-05-09,129,0,39,0
"274",7785,78447,"Site E","beach plum","Breaking leaf buds",2017-05-16,136,0,39,0
"275",7786,78448,"Site E","beach plum","Breaking leaf buds",2017-05-22,142,0,39,0
"276",7787,78449,"Site E","beach plum","Breaking leaf buds",2017-05-30,150,1,39,3
"277",7788,78450,"Site E","beach plum","Breaking leaf buds",2017-06-07,158,1,39,4
"278",7789,78451,"Site E","beach plum","Breaking leaf buds",2017-06-13,164,1,39,3
"279",7790,78452,"Site E","beach plum","Breaking leaf buds",2017-06-16,167,1,39,3
"281",7792,78454,"Site E","beach plum","Breaking leaf buds",2017-06-23,174,1,39,3
"282",7793,78455,"Site E","beach plum","Breaking leaf buds",2017-06-27,178,1,39,3
"283",7794,78456,"Site E","beach plum","Breaking leaf buds",2017-06-29,180,1,39,3
"284",7795,78457,"Site E","beach plum","Breaking leaf buds",2017-07-06,187,1,39,3
"285",7796,78458,"Site E","beach plum","Breaking leaf buds",2017-07-10,191,1,39,2
"286",7797,78459,"Site E","beach plum","Breaking leaf buds",2017-07-14,195,1,39,2
"287",7798,78460,"Site E","beach plum","Breaking leaf buds",2017-07-18,199,1,39,2
"288",7799,78461,"Site E","beach plum","Breaking leaf buds",2017-07-21,202,1,39,1
"289",7800,78462,"Site E","beach plum","Breaking leaf buds",2017-07-26,207,1,39,1
"290",7801,78463,"Site E","beach plum","Breaking leaf buds",2017-07-31,212,1,39,1
