"","X.1","X","Site_Name","Common_Name","Phenophase_Name","Observation_Date","Day_of_Year","Phenophase_Status","Intensity_Category_ID","Intensity_Value"
"23",11413,118112,"Site G","beach plum","Breaking leaf buds",2018-03-20,79,0,39,0
"25",11415,118114,"Site G","beach plum","Breaking leaf buds",2018-05-15,135,0,39,0
"26",11416,118115,"Site G","beach plum","Breaking leaf buds",2018-04-24,114,0,39,0
"27",11417,118116,"Site G","beach plum","Breaking leaf buds",2018-04-09,99,0,39,0
"28",11418,118117,"Site G","beach plum","Breaking leaf buds",2018-05-02,122,0,39,0
"29",11419,118118,"Site G","beach plum","Breaking leaf buds",2018-05-08,128,0,39,0
"30",11420,118119,"Site G","beach plum","Breaking leaf buds",2018-05-11,131,0,39,0
"31",11421,118120,"Site G","beach plum","Breaking leaf buds",2018-05-21,141,0,39,0
"32",11422,118121,"Site G","beach plum","Breaking leaf buds",2018-05-29,149,1,39,3
"33",11423,118122,"Site G","beach plum","Breaking leaf buds",2018-05-25,145,0,39,0
"34",11424,118123,"Site G","beach plum","Breaking leaf buds",2018-06-05,156,1,39,4
"35",11425,118124,"Site G","beach plum","Breaking leaf buds",2018-06-08,159,1,39,6
"36",11426,118125,"Site G","beach plum","Breaking leaf buds",2018-06-14,165,1,39,6
"37",11427,118126,"Site G","beach plum","Breaking leaf buds",2018-06-18,169,1,39,6
"38",11428,118127,"Site G","beach plum","Breaking leaf buds",2018-06-21,172,1,39,6
"39",11429,118128,"Site G","beach plum","Breaking leaf buds",2018-06-25,176,1,39,3
"40",11430,118129,"Site G","beach plum","Breaking leaf buds",2018-06-29,180,1,39,4
"41",11431,118130,"Site G","beach plum","Breaking leaf buds",2018-07-02,183,0,39,0
"42",11432,118131,"Site G","beach plum","Breaking leaf buds",2018-07-06,187,0,39,0
"43",11433,118132,"Site G","beach plum","Breaking leaf buds",2018-07-09,190,0,39,0
"44",11434,118133,"Site G","beach plum","Breaking leaf buds",2018-07-13,194,0,39,0
"45",11435,118134,"Site G","beach plum","Breaking leaf buds",2018-07-16,197,0,39,0
"46",11436,118135,"Site G","beach plum","Breaking leaf buds",2018-07-20,201,0,39,0
"47",11437,118136,"Site G","beach plum","Breaking leaf buds",2018-07-23,204,0,39,0
"48",11438,118137,"Site G","beach plum","Breaking leaf buds",2018-07-27,208,0,39,0
"49",11439,118138,"Site G","beach plum","Breaking leaf buds",2018-08-01,213,0,39,0
"50",11440,118139,"Site G","beach plum","Breaking leaf buds",2018-08-06,218,0,39,0
"51",11441,118140,"Site G","beach plum","Breaking leaf buds",2018-08-09,221,0,39,0
"52",11442,118141,"Site G","beach plum","Breaking leaf buds",2018-08-13,225,0,39,0
