,X,Site_Name,Common_Name,Phenophase_Name,Observation_Date,Day_of_Year,Phenophase_Status,Intensity_Category_ID,Intensity_Value
5441,56724,Site D,beach plum,Breaking leaf buds,3/22/2017,81,0,39,0
5442,56725,Site D,beach plum,Breaking leaf buds,4/3/2017,93,0,39,0
5443,56726,Site D,beach plum,Breaking leaf buds,4/11/2017,101,0,39,0
5444,56727,Site D,beach plum,Breaking leaf buds,4/18/2017,108,0,39,0
5445,56728,Site D,beach plum,Breaking leaf buds,4/27/2017,117,0,39,0
5446,56729,Site D,beach plum,Breaking leaf buds,5/3/2017,123,0,39,0
5447,56730,Site D,beach plum,Breaking leaf buds,5/9/2017,129,0,39,0
5448,56731,Site D,beach plum,Breaking leaf buds,5/16/2017,136,0,39,0
5449,56732,Site D,beach plum,Breaking leaf buds,5/22/2017,142,1,39,3
5450,56733,Site D,beach plum,Breaking leaf buds,5/30/2017,150,1,39,4
5451,56734,Site D,beach plum,Breaking leaf buds,6/7/2017,158,1,39,4
5452,56735,Site D,beach plum,Breaking leaf buds,6/13/2017,164,1,39,3
5453,56736,Site D,beach plum,Breaking leaf buds,6/16/2017,167,1,39,4
5454,56737,Site D,beach plum,Breaking leaf buds,5/14/2015,134,0,39,0
5455,56738,Site D,beach plum,Breaking leaf buds,6/23/2017,174,1,39,4
5456,56739,Site D,beach plum,Breaking leaf buds,6/27/2017,178,1,39,4
5457,56740,Site D,beach plum,Breaking leaf buds,6/29/2017,180,1,39,3
5458,56741,Site D,beach plum,Breaking leaf buds,7/6/2017,187,1,39,3
5459,56742,Site D,beach plum,Breaking leaf buds,7/10/2017,191,1,39,3
5460,56743,Site D,beach plum,Breaking leaf buds,7/14/2017,195,1,39,2
5461,56744,Site D,beach plum,Breaking leaf buds,7/18/2017,199,1,39,2
5462,56745,Site D,beach plum,Breaking leaf buds,7/21/2017,202,1,39,2
5463,56746,Site D,beach plum,Breaking leaf buds,7/26/2017,207,0,39,0
5464,56747,Site D,beach plum,Breaking leaf buds,7/31/2017,212,0,39,0
5465,56748,Site D,beach plum,Breaking leaf buds,8/4/2017,216,0,39,0
5466,56749,Site D,beach plum,Breaking leaf buds,8/8/2017,220,0,39,0
5467,56750,Site D,beach plum,Breaking leaf buds,8/11/2017,223,0,39,0
5468,56751,Site D,beach plum,Breaking leaf buds,8/14/2017,226,0,39,0
5469,56752,Site D,beach plum,Breaking leaf buds,8/22/2017,234,0,39,0
5470,56753,Site D,beach plum,Breaking leaf buds,8/25/2017,237,0,39,0
5471,56754,Site D,beach plum,Breaking leaf buds,8/18/2017,230,0,39,0
5472,56755,Site D,beach plum,Breaking leaf buds,11/15/2017,319,0,39,0
5473,56756,Site D,beach plum,Breaking leaf buds,9/18/2017,261,0,39,0
5474,56757,Site D,beach plum,Breaking leaf buds,10/2/2017,275,0,39,0
5475,56758,Site D,beach plum,Breaking leaf buds,9/12/2017,255,0,39,0
5476,56759,Site D,beach plum,Breaking leaf buds,3/20/2018,79,0,39,0
5477,56760,Site D,beach plum,Breaking leaf buds,10/23/2017,296,0,39,0
5478,56761,Site D,beach plum,Breaking leaf buds,5/16/2018,136,0,39,0
5479,56762,Site D,beach plum,Breaking leaf buds,4/24/2018,114,0,39,0
5480,56763,Site D,beach plum,Breaking leaf buds,4/9/2018,99,0,39,0
5481,56764,Site D,beach plum,Breaking leaf buds,5/2/2018,122,0,39,0
5482,56765,Site D,beach plum,Breaking leaf buds,5/8/2018,128,0,39,0
5483,56766,Site D,beach plum,Breaking leaf buds,5/11/2018,131,0,39,0
5484,56767,Site D,beach plum,Breaking leaf buds,5/21/2018,141,0,39,0
5485,56768,Site D,beach plum,Breaking leaf buds,5/29/2018,149,1,39,3
5486,56769,Site D,beach plum,Breaking leaf buds,5/25/2018,145,1,39,6
5487,56770,Site D,beach plum,Breaking leaf buds,6/5/2018,156,1,39,3
5488,56771,Site D,beach plum,Breaking leaf buds,6/8/2018,159,1,39,5
5489,56772,Site D,beach plum,Breaking leaf buds,6/14/2018,165,1,39,4
5490,56773,Site D,beach plum,Breaking leaf buds,6/18/2018,169,1,39,4
5491,56774,Site D,beach plum,Breaking leaf buds,6/21/2018,172,1,39,5
5492,56775,Site D,beach plum,Breaking leaf buds,6/25/2018,176,1,39,4
5493,56776,Site D,beach plum,Breaking leaf buds,6/29/2018,180,1,39,4
5494,56777,Site D,beach plum,Breaking leaf buds,7/2/2018,183,0,39,0
5495,56778,Site D,beach plum,Breaking leaf buds,7/6/2018,187,0,39,0
5496,56779,Site D,beach plum,Breaking leaf buds,7/9/2018,190,0,39,0
5497,56780,Site D,beach plum,Breaking leaf buds,7/13/2018,194,0,39,0
5498,56781,Site D,beach plum,Breaking leaf buds,7/16/2018,197,0,39,0
5499,56782,Site D,beach plum,Breaking leaf buds,7/20/2018,201,0,39,0
5500,56783,Site D,beach plum,Breaking leaf buds,7/23/2018,204,0,39,0
5501,56784,Site D,beach plum,Breaking leaf buds,7/27/2018,208,0,39,0
5502,56785,Site D,beach plum,Breaking leaf buds,8/1/2018,213,0,39,0
5503,56786,Site D,beach plum,Breaking leaf buds,8/6/2018,218,0,39,0
5504,56787,Site D,beach plum,Breaking leaf buds,8/9/2018,221,0,39,0
5505,56788,Site D,beach plum,Breaking leaf buds,8/13/2018,225,0,39,0
5506,56789,Site D,beach plum,Breaking leaf buds,4/9/2015,99,0,39,0
5507,56790,Site D,beach plum,Breaking leaf buds,4/14/2015,104,0,39,0
5508,56791,Site D,beach plum,Breaking leaf buds,4/21/2015,111,0,39,0
5509,56792,Site D,beach plum,Breaking leaf buds,4/28/2015,118,0,39,0
5510,56793,Site D,beach plum,Breaking leaf buds,4/30/2015,120,0,39,0
5511,56794,Site D,beach plum,Breaking leaf buds,5/5/2015,125,0,39,0
5512,56795,Site D,beach plum,Breaking leaf buds,5/12/2015,132,0,39,0
5513,56796,Site D,beach plum,Breaking leaf buds,4/23/2015,113,0,39,0
5514,56797,Site D,beach plum,Breaking leaf buds,5/7/2015,127,0,39,0
5515,56798,Site D,beach plum,Breaking leaf buds,5/28/2015,148,1,39,3
5516,56799,Site D,beach plum,Breaking leaf buds,6/2/2015,153,1,39,3
5517,56800,Site D,beach plum,Breaking leaf buds,6/4/2015,155,1,39,2
5518,56801,Site D,beach plum,Breaking leaf buds,6/9/2015,160,1,39,2
5519,56802,Site D,beach plum,Breaking leaf buds,6/11/2015,162,0,39,0
5520,56803,Site D,beach plum,Breaking leaf buds,6/16/2015,167,1,39,1
5521,56804,Site D,beach plum,Breaking leaf buds,6/18/2015,169,1,39,2
5522,56805,Site D,beach plum,Breaking leaf buds,6/23/2015,174,1,39,1
5523,56806,Site D,beach plum,Breaking leaf buds,7/2/2015,183,1,39,1
5524,56807,Site D,beach plum,Breaking leaf buds,7/7/2015,188,0,39,0
5525,56808,Site D,beach plum,Breaking leaf buds,7/9/2015,190,1,39,2
5526,56809,Site D,beach plum,Breaking leaf buds,7/16/2015,197,0,39,0
5527,56810,Site D,beach plum,Breaking leaf buds,6/30/2015,181,1,39,2
5528,56811,Site D,beach plum,Breaking leaf buds,7/28/2015,209,0,39,0
5529,56812,Site D,beach plum,Breaking leaf buds,7/23/2015,204,0,39,0
5530,56813,Site D,beach plum,Breaking leaf buds,8/4/2015,216,0,39,0
5531,56814,Site D,beach plum,Breaking leaf buds,8/6/2015,218,0,39,0
5532,56815,Site D,beach plum,Breaking leaf buds,4/16/2015,106,0,39,0
5533,56816,Site D,beach plum,Breaking leaf buds,8/20/2015,232,0,39,0
5534,56817,Site D,beach plum,Breaking leaf buds,8/25/2015,237,0,39,0
5535,56818,Site D,beach plum,Breaking leaf buds,8/27/2015,239,0,39,0
5536,56819,Site D,beach plum,Breaking leaf buds,9/1/2015,244,0,39,0
5537,56820,Site D,beach plum,Breaking leaf buds,9/3/2015,246,0,39,0
5538,56821,Site D,beach plum,Breaking leaf buds,9/10/2015,253,0,39,0
5539,56822,Site D,beach plum,Breaking leaf buds,9/8/2015,251,0,39,0
5540,56823,Site D,beach plum,Breaking leaf buds,9/15/2015,258,0,39,0
5541,56824,Site D,beach plum,Breaking leaf buds,9/24/2015,267,0,39,0
5542,56825,Site D,beach plum,Breaking leaf buds,9/29/2015,272,0,39,0
