,X,Site_Name,Common_Name,Phenophase_Name,Observation_Date,Day_of_Year,Phenophase_Status,Intensity_Category_ID,Intensity_Value
7512,78174,Site E,beach plum,Breaking leaf buds,5/11/2018,131,0,39,0
7513,78175,Site E,beach plum,Breaking leaf buds,5/21/2018,141,0,39,0
7514,78176,Site E,beach plum,Breaking leaf buds,5/29/2018,149,0,39,0
7515,78177,Site E,beach plum,Breaking leaf buds,5/25/2018,145,0,39,0
7516,78178,Site E,beach plum,Breaking leaf buds,6/5/2018,156,1,39,3
7517,78179,Site E,beach plum,Breaking leaf buds,6/8/2018,159,1,39,3
7518,78180,Site E,beach plum,Breaking leaf buds,6/14/2018,165,1,39,3
7519,78181,Site E,beach plum,Breaking leaf buds,6/18/2018,169,0,39,0
7520,78182,Site E,beach plum,Breaking leaf buds,6/21/2018,172,1,39,3
7521,78183,Site E,beach plum,Breaking leaf buds,6/25/2018,176,1,39,3
7522,78184,Site E,beach plum,Breaking leaf buds,6/29/2018,180,1,39,2
7523,78185,Site E,beach plum,Breaking leaf buds,7/2/2018,183,0,39,0
7524,78186,Site E,beach plum,Breaking leaf buds,7/6/2018,187,0,39,0
7525,78187,Site E,beach plum,Breaking leaf buds,7/9/2018,190,0,39,0
7526,78188,Site E,beach plum,Breaking leaf buds,7/13/2018,194,0,39,0
7527,78189,Site E,beach plum,Breaking leaf buds,7/16/2018,197,0,39,0
7528,78190,Site E,beach plum,Breaking leaf buds,7/20/2018,201,0,39,0
7529,78191,Site E,beach plum,Breaking leaf buds,7/23/2018,204,0,39,0
7530,78192,Site E,beach plum,Breaking leaf buds,7/27/2018,208,0,39,0
7531,78193,Site E,beach plum,Breaking leaf buds,8/1/2018,213,0,39,0
7532,78194,Site E,beach plum,Breaking leaf buds,8/6/2018,218,0,39,0
7533,78195,Site E,beach plum,Breaking leaf buds,8/10/2018,222,0,39,0
7534,78196,Site E,beach plum,Breaking leaf buds,8/13/2018,225,0,39,0
7535,78197,Site E,beach plum,Breaking leaf buds,4/16/2015,106,0,39,0
7536,78198,Site E,beach plum,Breaking leaf buds,4/9/2015,99,0,39,0
7537,78199,Site E,beach plum,Breaking leaf buds,4/14/2015,104,0,39,0
7538,78200,Site E,beach plum,Breaking leaf buds,4/21/2015,111,0,39,0
7539,78201,Site E,beach plum,Breaking leaf buds,4/28/2015,118,0,39,0
7540,78202,Site E,beach plum,Breaking leaf buds,4/30/2015,120,0,39,0
7541,78203,Site E,beach plum,Breaking leaf buds,5/5/2015,125,0,39,0
7542,78204,Site E,beach plum,Breaking leaf buds,5/12/2015,132,0,39,0
7543,78205,Site E,beach plum,Breaking leaf buds,5/19/2015,139,0,39,0
7544,78206,Site E,beach plum,Breaking leaf buds,4/23/2015,113,0,39,0
7545,78207,Site E,beach plum,Breaking leaf buds,5/7/2015,127,0,39,0
7546,78208,Site E,beach plum,Breaking leaf buds,5/26/2015,146,1,39,3
7547,78209,Site E,beach plum,Breaking leaf buds,5/28/2015,148,1,39,3
7548,78210,Site E,beach plum,Breaking leaf buds,6/2/2015,153,1,39,2
7549,78211,Site E,beach plum,Breaking leaf buds,6/4/2015,155,1,39,2
7550,78212,Site E,beach plum,Breaking leaf buds,6/9/2015,160,1,39,2
7551,78213,Site E,beach plum,Breaking leaf buds,6/11/2015,162,1,39,1
7552,78214,Site E,beach plum,Breaking leaf buds,6/16/2015,167,1,39,1
7553,78215,Site E,beach plum,Breaking leaf buds,6/18/2015,169,1,39,2
7554,78216,Site E,beach plum,Breaking leaf buds,6/23/2015,174,1,39,3
7555,78217,Site E,beach plum,Breaking leaf buds,7/2/2015,183,1,39,2
7556,78218,Site E,beach plum,Breaking leaf buds,7/7/2015,188,0,39,0
7557,78219,Site E,beach plum,Breaking leaf buds,7/9/2015,190,0,39,0
7558,78220,Site E,beach plum,Breaking leaf buds,7/16/2015,197,0,39,0
7559,78221,Site E,beach plum,Breaking leaf buds,7/28/2015,209,1,39,1
7560,78222,Site E,beach plum,Breaking leaf buds,7/23/2015,204,0,39,0
7561,78223,Site E,beach plum,Breaking leaf buds,8/4/2015,216,0,39,0
7562,78224,Site E,beach plum,Breaking leaf buds,8/6/2015,218,0,39,0
7563,78225,Site E,beach plum,Breaking leaf buds,8/20/2015,232,0,39,0
7564,78226,Site E,beach plum,Breaking leaf buds,9/1/2015,244,0,39,0
7565,78227,Site E,beach plum,Breaking leaf buds,8/25/2015,237,0,39,0
7566,78228,Site E,beach plum,Breaking leaf buds,8/27/2015,239,0,39,0
7567,78229,Site E,beach plum,Breaking leaf buds,9/3/2015,246,0,39,0
7568,78230,Site E,beach plum,Breaking leaf buds,9/10/2015,253,0,39,0
7569,78231,Site E,beach plum,Breaking leaf buds,9/8/2015,251,0,39,0
7570,78232,Site E,beach plum,Breaking leaf buds,9/15/2015,258,0,39,0
7571,78233,Site E,beach plum,Breaking leaf buds,9/24/2015,267,0,39,0
7572,78234,Site E,beach plum,Breaking leaf buds,9/29/2015,272,0,39,0
7573,78235,Site E,beach plum,Breaking leaf buds,9/22/2015,265,0,39,0
7574,78236,Site E,beach plum,Breaking leaf buds,6/25/2015,176,1,39,2
7575,78237,Site E,beach plum,Breaking leaf buds,10/6/2015,279,0,39,0
7576,78238,Site E,beach plum,Breaking leaf buds,10/8/2015,281,0,39,0
7577,78239,Site E,beach plum,Breaking leaf buds,10/13/2015,286,0,39,0
7578,78240,Site E,beach plum,Breaking leaf buds,10/15/2015,288,0,39,0
7579,78241,Site E,beach plum,Breaking leaf buds,10/20/2015,293,0,39,0
7580,78242,Site E,beach plum,Breaking leaf buds,10/22/2015,295,0,39,0
7581,78243,Site E,beach plum,Breaking leaf buds,10/27/2015,300,0,39,0
7582,78244,Site E,beach plum,Breaking leaf buds,5/17/2016,138,0,39,0
7583,78245,Site E,beach plum,Breaking leaf buds,5/23/2016,144,0,39,0
7584,78246,Site E,beach plum,Breaking leaf buds,5/6/2016,127,0,39,0
7585,78247,Site E,beach plum,Breaking leaf buds,4/27/2016,118,0,39,0
7586,78248,Site E,beach plum,Breaking leaf buds,4/11/2016,102,0,39,0
7587,78249,Site E,beach plum,Breaking leaf buds,4/22/2016,113,0,39,0
7588,78250,Site E,beach plum,Breaking leaf buds,4/29/2016,120,0,39,0
7589,78251,Site E,beach plum,Breaking leaf buds,5/13/2016,134,0,39,0
7590,78252,Site E,beach plum,Breaking leaf buds,5/31/2016,152,1,39,2
7591,78253,Site E,beach plum,Breaking leaf buds,6/9/2016,161,1,39,3
7592,78254,Site E,beach plum,Breaking leaf buds,6/7/2016,159,1,39,3
7593,78255,Site E,beach plum,Breaking leaf buds,5/26/2016,147,0,39,0
7594,78256,Site E,beach plum,Breaking leaf buds,6/14/2016,166,1,39,2
7595,78257,Site E,beach plum,Breaking leaf buds,6/3/2016,155,1,39,3
7596,78258,Site E,beach plum,Breaking leaf buds,5/20/2016,141,1,39,2
7597,78259,Site E,beach plum,Breaking leaf buds,6/16/2016,168,0,39,0
7598,78260,Site E,beach plum,Breaking leaf buds,4/21/2016,112,0,39,0
7599,78261,Site E,beach plum,Breaking leaf buds,3/20/2016,80,0,39,0
7600,78262,Site E,beach plum,Breaking leaf buds,6/21/2016,173,0,39,0
7601,78263,Site E,beach plum,Breaking leaf buds,6/28/2016,180,0,39,0
7602,78264,Site E,beach plum,Breaking leaf buds,6/30/2016,182,0,39,0
7603,78265,Site E,beach plum,Breaking leaf buds,7/5/2016,187,0,39,0
7604,78266,Site E,beach plum,Breaking leaf buds,7/7/2016,189,0,39,0
