,X,Site_Name,Common_Name,Phenophase_Name,Observation_Date,Day_of_Year,Phenophase_Status,Intensity_Category_ID,Intensity_Value
11391,118090,Site G,beach plum,Breaking leaf buds,6/16/2017,167,1,39,4
11392,118091,Site G,beach plum,Breaking leaf buds,5/14/2015,134,0,39,0
11393,118092,Site G,beach plum,Breaking leaf buds,6/23/2017,174,1,39,4
11394,118093,Site G,beach plum,Breaking leaf buds,6/27/2017,178,1,39,4
11395,118094,Site G,beach plum,Breaking leaf buds,6/29/2017,180,1,39,3
11396,118095,Site G,beach plum,Breaking leaf buds,7/6/2017,187,1,39,3
11397,118096,Site G,beach plum,Breaking leaf buds,7/10/2017,191,1,39,3
11398,118097,Site G,beach plum,Breaking leaf buds,7/14/2017,195,1,39,3
11399,118098,Site G,beach plum,Breaking leaf buds,7/18/2017,199,1,39,2
11400,118099,Site G,beach plum,Breaking leaf buds,7/21/2017,202,1,39,2
11401,118100,Site G,beach plum,Breaking leaf buds,7/26/2017,207,1,39,1
11402,118101,Site G,beach plum,Breaking leaf buds,7/31/2017,212,1,39,2
11403,118102,Site G,beach plum,Breaking leaf buds,8/4/2017,216,0,39,0
11404,118103,Site G,beach plum,Breaking leaf buds,8/8/2017,220,1,39,1
11405,118104,Site G,beach plum,Breaking leaf buds,8/11/2017,223,1,39,1
11406,118105,Site G,beach plum,Breaking leaf buds,8/14/2017,226,0,39,0
11407,118106,Site G,beach plum,Breaking leaf buds,8/22/2017,234,0,39,0
11408,118107,Site G,beach plum,Breaking leaf buds,8/25/2017,237,0,39,0
11409,118108,Site G,beach plum,Breaking leaf buds,8/18/2017,230,0,39,0
11410,118109,Site G,beach plum,Breaking leaf buds,11/15/2017,319,0,39,0
11411,118110,Site G,beach plum,Breaking leaf buds,9/18/2017,261,0,39,0
11412,118111,Site G,beach plum,Breaking leaf buds,9/12/2017,255,0,39,0
11413,118112,Site G,beach plum,Breaking leaf buds,3/20/2018,79,0,39,0
11414,118113,Site G,beach plum,Breaking leaf buds,10/23/2017,296,0,39,0
11415,118114,Site G,beach plum,Breaking leaf buds,5/15/2018,135,0,39,0
11416,118115,Site G,beach plum,Breaking leaf buds,4/24/2018,114,0,39,0
11417,118116,Site G,beach plum,Breaking leaf buds,4/9/2018,99,0,39,0
11418,118117,Site G,beach plum,Breaking leaf buds,5/2/2018,122,0,39,0
11419,118118,Site G,beach plum,Breaking leaf buds,5/8/2018,128,0,39,0
11420,118119,Site G,beach plum,Breaking leaf buds,5/11/2018,131,0,39,0
11421,118120,Site G,beach plum,Breaking leaf buds,5/21/2018,141,0,39,0
11422,118121,Site G,beach plum,Breaking leaf buds,5/29/2018,149,1,39,3
11423,118122,Site G,beach plum,Breaking leaf buds,5/25/2018,145,0,39,0
11424,118123,Site G,beach plum,Breaking leaf buds,6/5/2018,156,1,39,4
11425,118124,Site G,beach plum,Breaking leaf buds,6/8/2018,159,1,39,6
11426,118125,Site G,beach plum,Breaking leaf buds,6/14/2018,165,1,39,6
11427,118126,Site G,beach plum,Breaking leaf buds,6/18/2018,169,1,39,6
11428,118127,Site G,beach plum,Breaking leaf buds,6/21/2018,172,1,39,6
11429,118128,Site G,beach plum,Breaking leaf buds,6/25/2018,176,1,39,3
11430,118129,Site G,beach plum,Breaking leaf buds,6/29/2018,180,1,39,4
11431,118130,Site G,beach plum,Breaking leaf buds,7/2/2018,183,0,39,0
11432,118131,Site G,beach plum,Breaking leaf buds,7/6/2018,187,0,39,0
11433,118132,Site G,beach plum,Breaking leaf buds,7/9/2018,190,0,39,0
11434,118133,Site G,beach plum,Breaking leaf buds,7/13/2018,194,0,39,0
11435,118134,Site G,beach plum,Breaking leaf buds,7/16/2018,197,0,39,0
11436,118135,Site G,beach plum,Breaking leaf buds,7/20/2018,201,0,39,0
11437,118136,Site G,beach plum,Breaking leaf buds,7/23/2018,204,0,39,0
11438,118137,Site G,beach plum,Breaking leaf buds,7/27/2018,208,0,39,0
11439,118138,Site G,beach plum,Breaking leaf buds,8/1/2018,213,0,39,0
11440,118139,Site G,beach plum,Breaking leaf buds,8/6/2018,218,0,39,0
11441,118140,Site G,beach plum,Breaking leaf buds,8/9/2018,221,0,39,0
11442,118141,Site G,beach plum,Breaking leaf buds,8/13/2018,225,0,39,0
11443,118142,Site G,beach plum,Breaking leaf buds,4/16/2015,106,0,39,0
11444,118143,Site G,beach plum,Breaking leaf buds,4/9/2015,99,0,39,0
11445,118144,Site G,beach plum,Breaking leaf buds,4/14/2015,104,0,39,0
11446,118145,Site G,beach plum,Breaking leaf buds,4/21/2015,111,0,39,0
11447,118146,Site G,beach plum,Breaking leaf buds,4/28/2015,118,0,39,0
11448,118147,Site G,beach plum,Breaking leaf buds,4/30/2015,120,0,39,0
11449,118148,Site G,beach plum,Breaking leaf buds,5/5/2015,125,0,39,0
11450,118149,Site G,beach plum,Breaking leaf buds,5/12/2015,132,0,39,0
11451,118150,Site G,beach plum,Breaking leaf buds,4/23/2015,113,0,39,0
11452,118151,Site G,beach plum,Breaking leaf buds,5/7/2015,127,0,39,0
11453,118152,Site G,beach plum,Breaking leaf buds,5/26/2015,146,1,39,2
11454,118153,Site G,beach plum,Breaking leaf buds,5/28/2015,148,0,39,0
11455,118154,Site G,beach plum,Breaking leaf buds,6/2/2015,153,0,39,0
11456,118155,Site G,beach plum,Breaking leaf buds,6/4/2015,155,0,39,0
11457,118156,Site G,beach plum,Breaking leaf buds,6/9/2015,160,0,39,0
11458,118157,Site G,beach plum,Breaking leaf buds,6/11/2015,162,1,39,2
11459,118158,Site G,beach plum,Breaking leaf buds,6/16/2015,167,1,39,3
11460,118159,Site G,beach plum,Breaking leaf buds,6/18/2015,169,1,39,3
11461,118160,Site G,beach plum,Breaking leaf buds,6/23/2015,174,1,39,3
11462,118161,Site G,beach plum,Breaking leaf buds,7/2/2015,183,1,39,3
11463,118162,Site G,beach plum,Breaking leaf buds,7/7/2015,188,0,39,0
11464,118163,Site G,beach plum,Breaking leaf buds,7/9/2015,190,0,39,0
11465,118164,Site G,beach plum,Breaking leaf buds,7/16/2015,197,0,39,0
11466,118165,Site G,beach plum,Breaking leaf buds,6/30/2015,181,1,39,3
11467,118166,Site G,beach plum,Breaking leaf buds,7/28/2015,209,0,39,0
11468,118167,Site G,beach plum,Breaking leaf buds,7/23/2015,204,0,39,0
11469,118168,Site G,beach plum,Breaking leaf buds,8/4/2015,216,0,39,0
11470,118169,Site G,beach plum,Breaking leaf buds,8/6/2015,218,0,39,0
11471,118170,Site G,beach plum,Breaking leaf buds,8/20/2015,232,0,39,0
11472,118171,Site G,beach plum,Breaking leaf buds,9/1/2015,244,0,39,0
11473,118172,Site G,beach plum,Breaking leaf buds,8/25/2015,237,0,39,0
11474,118173,Site G,beach plum,Breaking leaf buds,8/27/2015,239,0,39,0
11475,118174,Site G,beach plum,Breaking leaf buds,9/3/2015,246,0,39,0
11476,118175,Site G,beach plum,Breaking leaf buds,9/10/2015,253,0,39,0
11477,118176,Site G,beach plum,Breaking leaf buds,9/8/2015,251,0,39,0
11478,118177,Site G,beach plum,Breaking leaf buds,9/15/2015,258,0,39,0
11479,118178,Site G,beach plum,Breaking leaf buds,9/24/2015,267,0,39,0
11480,118179,Site G,beach plum,Breaking leaf buds,9/29/2015,272,0,39,0
11481,118180,Site G,beach plum,Breaking leaf buds,9/22/2015,265,0,39,0
11482,118181,Site G,beach plum,Breaking leaf buds,6/25/2015,176,1,39,4
11483,118182,Site G,beach plum,Breaking leaf buds,10/6/2015,279,0,39,0
